year,month,day,filename,number_of_events
2024,03,24,events.json,450
2024,03,25,events.json,450
2024,03,26,events.json,450
2024,03,27,events.json,450
2024,03,28,events.json,450
2024,03,29,events.json,450
2024,03,30,events.json,450
2024,03,31,events.json,450
2024,04,01,events.json,450
2024,04,02,events.json,450
2024,04,07,events.json,450
2024,04,08,events.json,450
2024,04,09,events.json,450
2024,04,10,events.json,450
2024,04,11,events.json,450
2024,04,12,events.json,450
2024,04,13,events.json,450
2024,04,14,events.json,450
2024,04,15,events.json,450
2024,04,16,events.json,450
2024,05,04,events.json,150
2024,05,05,events.json,450
2024,05,06,events.json,450
2024,05,07,events.json,450
2024,05,08,events.json,450
2024,05,09,events.json,450
2024,05,10,events.json,450
2024,05,11,events.json,450
2024,05,12,events.json,450
2024,05,13,events.json,450
2024,05,14,events.json,450
2024,05,15,events.json,450
2024,05,16,events.json,450
2024,05,17,events.json,450
2024,05,18,events.json,450
2024,05,19,events.json,450
2024,05,20,events.json,450
2024,05,21,events.json,450
2024,05,22,events.json,450
2024,05,23,events.json,450
2024,05,24,events.json,450
2024,05,25,events.json,450
2024,05,26,events.json,450
2024,05,27,events.json,450
2024,05,28,events.json,450
2024,05,29,events.json,450
2024,05,30,events.json,450
2024,05,31,events.json,450
2024,06,09,events.json,460
2024,06,09,zones.json,3
2024,06,10,events.json,450
2024,06,11,events.json,450
2024,06,12,events.json,450
2024,06,13,events.json,450
2024,06,14,events.json,450
2024,06,15,events.json,450
2024,06,16,events.json,450
2024,06,17,events.json,450
2024,06,18,events.json,450
2024,06,23,events.json,450
2024,06,24,events.json,450
2024,06,25,events.json,450
2024,06,26,events.json,450
2024,06,27,events.json,450
2024,06,28,events.json,450
2024,06,29,events.json,450
2024,06,30,events.json,450
2024,07,05,events.json,450
2024,07,06,events.json,450
2024,07,07,events.json,85
2024,07,08,events.json,60
2024,07,09,events.json,362
2024,07,10,events.json,117
2024,07,11,events.json,51
2024,07,12,events.json,521
2024,07,13,events.json,363
2024,07,14,events.json,175
2024,07,15,events.json,461
2024,07,16,events.json,256
2024,07,17,events.json,565
2024,07,18,events.json,159
2024,07,19,events.json,329
2024,07,20,events.json,493
2024,07,21,events.json,467
2024,07,22,events.json,532
2024,07,23,events.json,396
2024,07,24,events.json,155
2024,07,25,events.json,344
2024,07,26,events.json,562
2024,07,27,events.json,405
2024,07,28,events.json,471
2024,07,29,events.json,427
2024,07,30,events.json,552
2024,07,31,events.json,204
2024,08,01,events.json,532
2024,08,02,events.json,213
2024,08,03,events.json,67
2024,08,04,events.json,332
2024,08,05,events.json,53
